Identifiant	Date	Heure	Site_indice	Site_nom	Text	Sex	Poids	Check_saltans
L2b/P/N13	17-mars	11h	L2b	Gayeulles	16.5	M	0.0153	juv
L2b/P/N14	17-mars	11h	L2b	Gayeulles	16.5	F	0.0223	juv
L2b/P/N15	17-mars	11h	L2b	Gayeulles	16.5	M	0.0166	juv
L2b/P/N16	21-mars	10h	L2b	Gayeulles	16.1	M	0.0152	juv
L2b/P/N17	21-mars	10h	L2b	Gayeulles	16.1	F	0.0267	juv
L2b/P/N18	21-mars	10h	L2b	Gayeulles	16.1	F	0.0231	juv
L2b/P/N19	21-mars	10h	L2b	Gayeulles	16.1	F	0.00134	juv
L2b/P/N2	17-mars	11h	L2b	Gayeulles	16.5	M	0.014	juv
L2b/P/N20	21-mars	10h	L2b	Gayeulles	16.1	F	0.0117	juv
L2b/P/N21	21-mars	10h	L2b	Gayeulles	16.1	F	0.0117	juv
L2b/P/N22	21-mars	10h	L2b	Gayeulles	16.1	F	0.0216	juv
L2b/P/N23	21-mars	10h	L2b	Gayeulles	16.1	F	0.0147	juv
L2b/P/N24	21-mars	10h	L2b	Gayeulles	16.1	F	0.0194	juv
L2b/P/N26	21-mars	10h	L2b	Gayeulles	16.1	F	0.0274	juv
L2b/P/N27	21-mars	10h	L2b	Gayeulles	16.1	M	0.0111	juv
L2b/P/N28	21-mars	10h	L2b	Gayeulles	16.1	M	0.0179	juv
L2b/P/N29	21-mars	10h	L2b	Gayeulles	16.1	M	0.0123	juv
L2b/P/N3	17-mars	11h	L2b	Gayeulles	16.5	M	0.0145	no
L2b/P/N30	25-mars	13h30	L2b	Gayeulles	20.5	M	0.0108	ok
L2b/P/N31	25-mars	13h30	L2b	Gayeulles	20.5	F	0.0143	juv
L2b/P/N32	25-mars	13h30	L2b	Gayeulles	20.5	F	0.0247	ok
L2b/P/N33	25-mars	13h30	L2b	Gayeulles	20.5	F	0.0313	ok
L2b/P/N34	25-mars	13h30	L2b	Gayeulles	20.5	F	0.0234	ok
L2b/P/N35	25-mars	13h30	L2b	Gayeulles	20.5	F	0.0247	ok
L2b/P/N36	25-mars	13h30	L2b	Gayeulles	20.5	M	0.0148	juv
L2b/P/N37	25-mars	13h30	L2b	Gayeulles	20.5	M	0.0136	ok
L2b/P/N38	25-mars	13h30	L2b	Gayeulles	20.5	F	0.0201	juv
L2b/P/N39	25-mars	13h30	L2b	Gayeulles	20.5	F	0.0067	juv
L2b/P/N4	17-mars	11h	L2b	Gayeulles	16.5	F	0.0222	juv
L2b/P/N40	25-mars	13h30	L2b	Gayeulles	20.5	F	0.0233	juv
L2b/P/N42	25-mars	13h30	L2b	Gayeulles	20.5	F	0.0216	juv
L2b/P/N5	17-mars	11h	L2b	Gayeulles	16.5	M	0.0163	juv
L2b/P/N6	17-mars	11h	L2b	Gayeulles	16.5	M	0.015	juv
L2b/P/N7	17-mars	11h	L2b	Gayeulles	16.5	F	0.0285	juv
L2b/P/N8	17-mars	11h	L2b	Gayeulles	16.5	F	0.017	ok
L2b/P/N9	17-mars	11h	L2b	Gayeulles	16.5	F	0.0101	juv
L3/P/2/N1	22-avr	14h	L3	Monniais	20.1	F	0.017	ok
L3/P/2/N10	22-avr	14h	L3	Monniais	20.1	F	0.0337	ok
L3/P/2/N11	22-avr	14h	L3	Monniais	20.1	F	0.0305	ok
L3/P/2/N12	22-avr	14h	L3	Monniais	20.1	F	0.038	ok
L3/P/2/N13	22-avr	14h	L3	Monniais	20.1	F	0.0223	ok
L3/P/2/N14	22-avr	14h	L3	Monniais	20.1	M	0.0116	ok
L3/P/2/N15	22-avr	14h	L3	Monniais	20.1	F	0.0203	ok
L3/P/2/N16	22-avr	14h	L3	Monniais	20.1	F	0.0234	ok
L3/P/2/N18	22-avr	14h	L3	Monniais	20.1	M	0.0103	ok
L3/P/2/N19	22-avr	14h	L3	Monniais	20.1	M	0.0111	ok
L3/P/2/N2	22-avr	14h	L3	Monniais	20.1	F	0.0335	ok
L3/P/2/N20	22-avr	14h	L3	Monniais	20.1	F	0.0358	ok
L3/P/2/N21	22-avr	14h	L3	Monniais	20.1	M	0.011	ok
L3/P/2/N22	22-avr	14h	L3	Monniais	20.1	M	0.0109	ok
L3/P/2/N23	22-avr	14h	L3	Monniais	20.1	F	0.0301	ok
L3/P/2/N24	22-avr	14h	L3	Monniais	20.1	F	0.0294	ok
L3/P/2/N25	22-avr	14h	L3	Monniais	20.1	F	0.0299	ok
L3/P/2/N26	22-avr	14h	L3	Monniais	20.1	F	0.023	ok
L3/P/2/N27	22-avr	14h	L3	Monniais	20.1	F	0.0319	ok
L3/P/2/N28	22-avr	14h	L3	Monniais	20.1	F	0.0365	ok
L3/P/2/N3	22-avr	14h	L3	Monniais	20.1	F	0.025	ok
L3/P/2/N4	22-avr	14h	L3	Monniais	20.1	M	0.0141	ok
L3/P/2/N5	22-avr	14h	L3	Monniais	20.1	M	0.0179	ok
L3/P/2/N6	22-avr	14h	L3	Monniais	20.1	M	0.0102	ok
L3/P/2/N7	22-avr	14h	L3	Monniais	20.1	F	0.033	ok
L3/P/2/N8	22-avr	14h	L3	Monniais	20.1	F	0.0366	ok
L3/P/2/N9	22-avr	14h	L3	Monniais	20.1	M	0.0117	ok
L3/P/N1	22-mars	12h	L3	Monniais	15.7	F	0.0146	juv
L3/P/N10	22-mars	12h	L3	Monniais	15.7	M	0.0143	juv
L3/P/N11	22-mars	12h	L3	Monniais	15.7	M	0.0111	juv
L3/P/N12	22-mars	12h	L3	Monniais	15.7	F	0.0192	juv
L3/P/N13	22-mars	12h	L3	Monniais	15.7	M	0.0116	juv
L3/P/N14	22-mars	12h	L3	Monniais	15.7	F	0.0136	juv
L3/P/N15	29-mars	13h	L3	Monniais	17.4	M	0.0104	ok
L3/P/N16	29-mars	13h	L3	Monniais	17.4	F	0.0182	ok
L3/P/N17	29-mars	13h	L3	Monniais	17.4	M	0.0104	juv
L3/P/N18	29-mars	13h	L3	Monniais	17.4	M	0.0124	ok
L3/P/N19	29-mars	13h	L3	Monniais	17.4	M	0.0123	ok
L3/P/N2	22-mars	12h	L3	Monniais	15.7	F	0.0252	juv
L3/P/N20	29-mars	13h	L3	Monniais	17.4	M	0.011	ok
L3/P/N21	29-mars	13h	L3	Monniais	17.4	M	0.0123	juv
L3/P/N22	29-mars	13h	L3	Monniais	17.4	F	0.0199	juv
L3/P/N23	29-mars	13h	L3	Monniais	17.4	M	0.0121	ok
L3/P/N24	29-mars	13h	L3	Monniais	17.4	F	0.0242	ok
L3/P/N25	29-mars	13h	L3	Monniais	17.4	M	0.0118	ok
L3/P/N26	29-mars	13h	L3	Monniais	17.4	M	0.0122	juv
L3/P/N27	29-mars	13h	L3	Monniais	17.4	F	0.0303	ok
L3/P/N28	29-mars	13h	L3	Monniais	17.4	M	0.0107	ok
L3/P/N29	29-mars	13h	L3	Monniais	17.4	M	0.012	juv
L3/P/N3	22-mars	12h	L3	Monniais	15.7	M	0.0115	juv
L3/P/N30	29-mars	13h	L3	Monniais	17.4	M	0.0128	ok
L3/P/N31	29-mars	13h	L3	Monniais	17.4	F	0.0181	ok
L3/P/N32	29-mars	13h	L3	Monniais	17.4	F	0.0238	juv
L3/P/N33	29-mars	13h	L3	Monniais	17.4	M	0.0112	juv
L3/P/N34	29-mars	13h	L3	Monniais	17.4	M	0.0117	ok
